Kaupunginosa,Huoneisto,Talotyyppi,Neliömäärä,Velaton hinta,Euroa per neliö,Rakennusvuosi,Kerros,Hissi,Kunto,Energialuokka
Tasanne,autop. katoksessa,kt,"1,00",6000,6000,2019,1/1,ei,hyvä,A
Ristinarkku,"1h,k",kt,"28,00",133800,4779,2019,4/7,on,hyvä,"C,2013"
Hervanta,"1 h, keittokome...",kt,"35,50",96000,2704,1985,1/6,on,hyvä,
Kaakinmaa,Autohalli,kt,"13,00",30000,2308,2018,-1/10,on,hyvä,C
Lentävänniemi,AUTOKATOS,kt,"20,00",4500,225,2019,1/6,on,hyvä,"C,2013"
Tesoma,"1H+KT+parvi 5,5 m²",kt,"20,50",118000,5756,2018,6/6,on,hyvä,
Niemenranta,"1h,tk,alk",kt,"33,00",139000,4212,2015,6/8,on,hyvä,"B,2007"
Tesoma,"h, kt, kph, las...",kt,"23,00",96000,4174,2018,4/6,on,hyvä,
Kaleva,"1h, kt, kph, la...",kt,"25,00",147000,5880,2018,1/6,on,hyvä,
Tammela,1h+k+kph/wc,kt,"35,20",161000,4574,1930,4/6,on,hyvä,
Ristinarkku,"1h,kt",kt,"28,00",133800,4779,2019,4/7,on,hyvä,"C,2013"
Tesoma,"1h, kt, kph, pa...",kt,"23,00",89856,3907,2018,4/6,on,hyvä,
Tasanne,autopaikka,kt,"1,00",3000,3000,2019,1/1,ei,hyvä,A
Tasanne,autop. katoksessa,kt,"1,00",6000,6000,2019,1/1,ei,hyvä,A
Peltolammi,"Oh, alkovi, kt,...",kt,"29,50",114000,3864,2019,3/6,on,hyvä,
Multisilta,"1h, kt",kt,"22,00",86432,3929,2019,2/8,on,hyvä,"B,2018"
Multisilta,"1h, kt",kt,"22,00",87600,3982,2019,3/8,on,hyvä,"B,2018"
Multisilta,"1h, kt",kt,"22,00",87600,3982,2019,3/8,on,hyvä,"B,2018"
Ristinarkku,"1h,kt",kt,"28,00",140300,5011,2019,6/7,on,hyvä,"C,2013"
Tammela,1h+kk+kph,kt,"32,00",138000,4313,1941,6/6,on,hyvä,F
Pyynikki,"1h, kt, parvi",kt,"34,50",232000,6725,2018,4/6,on,hyvä,E
Keskusta,"1h,kt,parvi",kt,"35,00",228000,6514,2018,3/6,on,hyvä,"C,2013"
Vuores,1h+kt+kph+lasit...,kt,"23,00",101000,4391,2017,1/6,on,hyvä,"C,2013"
Ristinarkku,"1h,k",kt,"26,00",124300,4781,2019,2/7,on,hyvä,"C,2013"
Hatanpää,1H+KT,kt,"27,00",157100,5819,2019,3/7,on,hyvä,"C,2018"
Lentävänniemi,autohallipaikka,kt,"12,50",15980,1278,2019, ,on,hyvä,
Lentävänniemi,1h+kt,kt,"27,50",112900,4105,2018,3/8,on,hyvä,C
Multisilta,"1h, kt",kt,"22,00",87600,3982,2019,3/8,on,hyvä,"B,2018"
Multisilta,"1h, kt",kt,"22,00",89060,4048,2019,4/8,on,hyvä,"B,2018"
Multisilta,"1h, kt",kt,"22,00",89060,4048,2019,4/8,on,hyvä,"B,2018"
Multisilta,"1h, kt",kt,"22,00",89936,4088,2019,5/8,on,hyvä,"B,2018"
Multisilta,"1h, kt",kt,"22,00",89936,4088,2019,5/8,on,hyvä,"B,2018"
Multisilta,"1h, kt",kt,"22,00",89936,4088,2019,5/8,on,hyvä,"B,2018"
Multisilta,"1h, kt",kt,"23,00",88476,3847,2019,2/8,on,hyvä,"B,2018"
Multisilta,"1h, kt",kt,"23,00",88476,3847,2019,2/8,on,hyvä,"B,2018"
Tasanne,"1h, kk, psh, s,...",kt,"37,00",128990,3486,2019,2/2,ei,hyvä,A
Lentävänniemi,"1h, avok, rp",kt,"27,50",115828,4212,2019,5/6,on,hyvä,"C,2013"
Ristinarkku,"1h,kt",kt,"28,00",131200,4686,2019,3/7,on,hyvä,"C,2013"
Ristinarkku,"1h,k",kt,"28,00",131200,4686,2019,3/7,on,hyvä,"C,2013"
Kaleva,"1h,kk,p",kt,"29,00",128000,4414,1964,8/9,on,hyvä,"E,2013"
Hervanta,,kt,"12,50",12900,1032,2019,1/1,on,hyvä,
Hatanpää,1H+KT,kt,"26,50",155600,5872,2019,2/7,on,hyvä,"C,2018"
Hatanpää,1H+KT,kt,"26,50",157100,5928,2019,3/7,on,hyvä,"C,2018"
Nekala,"1h, k, kph",kt,"32,00",68000,2125,1945,2/2,ei,hyvä,
Tammela,"1h, kk, kph, pa...",kt,"32,50",138000,4246,1982,5/7,on,hyvä,"F,2013"
Vuores,"1h, kt, alk, kp...",kt,"34,00",122500,3603,2015,4/5,on,hyvä,"A,2007"
Tammela,"1h,kk",kt,"34,00",134000,3941,1972,5/7,on, ,"D,2007"
Lentävänniemi,AUTOKATOS,kt,"20,00",9000,450,2019,1/6,on,hyvä,"C,2013"
